engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions,make_type,vehicle_class_type
2.0,4,AS8,Z,11.1,7.3,9.4,30,219.0,Premium,Sedan
2.0,4,AS7,Z,10.3,8.1,9.3,30,216.0,Premium,SUV
2.0,4,AS6,X,10.6,7.6,9.3,30,214.0,General,Sedan
2.0,4,A8,D,7.6,5.5,6.7,42,181.0,Premium,Sedan
2.0,4,AS8,E,13.7,11.1,12.5,23,208.0,General,Truck
3.0,6,AS8,Z,11.3,8.7,10.1,28,235.0,Premium,SUV
2.4,4,A4,X,12.7,9.2,11.1,25,261.0,Premium,SUV
2.0,4,AS6,X,11.3,8.0,9.9,29,231.0,General,SUV
3.0,6,AS8,Z,11.2,7.8,9.7,29,227.0,Premium,Hatchback
4.3,6,A4,X,17.1,12.7,15.1,19,347.0,General,Truck
3.0,6,AS8,Z,12.5,10.0,11.4,25,265.0,Sports,SUV
3.0,6,AS8,Z,12.1,8.5,10.5,27,246.0,Sports,Sedan
3.7,6,AS6,X,16.9,13.1,15.2,19,355.0,General,Truck
2.4,4,M5,X,10.2,8.3,9.3,30,219.0,Premium,SUV
4.4,8,AS8,Z,16.0,11.0,13.8,20,322.0,Premium,Hatchback
1.5,4,M6,X,8.9,6.7,7.9,36,185.0,General,Sedan
3.5,6,AM7,Z,20.4,13.1,17.1,17,402.0,General,Sedan
1.8,4,AS7,Z,11.0,7.4,9.4,30,216.0,Premium,Hatchback
1.6,4,M6,X,9.7,7.1,8.5,33,196.0,General,Hatchback
4.0,8,A9,Z,14.4,9.5,12.2,23,286.0,Premium,Sedan
2.4,4,A4,X,12.7,9.1,11.1,25,255.0,Premium,SUV
2.4,4,M5,X,10.6,8.6,9.7,29,228.0,Premium,SUV
5.5,8,AS7,Z,17.3,13.5,15.6,18,366.0,Premium,SUV
2.0,4,AS8,X,11.0,8.1,9.7,29,226.0,Premium,Sedan
3.0,6,AS8,Z,11.9,8.1,10.2,28,238.0,Premium,Hatchback
3.0,6,AS8,Z,14.1,10.3,12.4,23,291.0,Premium,SUV
4.0,6,M6,X,15.0,11.2,13.3,21,306.0,General,Truck
2.7,4,A8,X,12.5,10.8,11.7,24,275.0,General,Truck
1.4,4,M5,X,8.5,6.9,7.8,36,183.0,General,Hatchback
2.0,4,AV,X,9.1,7.5,8.4,34,197.0,General,Sedan
5.2,8,M6,Z,16.9,11.0,14.2,20,334.0,General,Hatchback
3.5,6,AM9,Z,11.1,10.8,11.0,26,261.0,Luxury,Sedan
3.0,6,AS8,Z,12.2,9.4,11.0,26,258.0,Premium,SUV
4.7,8,A9,Z,13.6,9.4,11.7,24,275.0,Premium,Hatchback
3.6,6,A8,E,20.5,14.5,17.8,16,285.0,General,Truck
1.4,4,AS6,X,8.1,6.0,7.2,39,169.0,General,Hatchback
6.2,8,A10,Z,17.1,11.3,14.5,19,340.0,General,SUV
5.0,8,AS8,Z,15.6,10.4,13.3,21,311.0,Sports,Sedan
3.2,6,A9,X,13.4,9.5,11.6,24,267.0,Premium,SUV
2.0,4,AV,X,10.7,8.8,9.9,29,228.0,Premium,SUV
4.0,6,AS5,X,14.8,12.5,13.8,20,321.0,General,SUV
3.0,6,AS7,Z,12.5,9.2,11.0,26,259.0,Premium,Hatchback
3.6,6,A8,X,14.6,10.1,12.6,22,294.0,General,Truck
2.0,4,AS6,X,11.9,8.7,10.5,27,246.0,General,SUV
5.3,8,A6,X,16.4,12.6,14.7,19,344.0,Premium,Truck
